発生拠点,発生年月日,成形機No.,設備名,トラブル内容,原因,是正内容,対応時間(h),対応者,調査過程,調査時の注意点
防府,2024/10/13,550-6,その他,ホイルキャップ塗装機のブース開閉シャッターが下がらない,電磁弁の動作不良により、シリンダーのロッド側の抜けが悪く下降しないと考えられる,下降前に上昇のバルブを0.5秒ONさせ、その後下降させるようPLC変更,2.0h,桐澤,シャッター上昇、下降時のバルブの電圧確認(電圧有)→下降前に1度上昇のバルブをONさせると動作することが判明→おそらくシリンダー内のエア圧の抜けが悪く下降しなかった→予備の電磁弁がなかった為PLCにて細工した,PLCの変更は慎重に行うこと。変更する場合は必ずバックアップデータを保存し変更する
MAPP,2024/11/5,550-4,オートローダー,"オートローダーの真空ポンプ用モータのサーマルリレー
がトリップする","ベアリングの劣化
","予備のオートローダと交換
ベアリング交換",0.5h,松村,オートローダ運転し、モータが回転するか確認→回転しなかった為、モータを解体しベアリングの状態を確認し、ベアリングが回転しなかったためベアリングを交換した。,何度もサーマルリレーをリセットし、モータを運転させようとすると、モータのコイルが焼損しモータごと交換が必要になるので注意すること
防府,2024/11/20,850-4,成形機,自動運転中にメインブレーカ(漏電遮断器)がトリップ,メインブレーカの経年劣化？？,ブレーカの感知時間を延ばした,1.0h,桐澤,サーボモータのファンを単独で運転させ、トリップするか確認(トリップしなかった)→ノズルヒータの絶縁チェック(問題無)→漏電遮断器の経年劣化の可能性→漏電遮断器の感知時間を延ばしトリップしなくなった,漏電遮断器の感知電流の設定は変更してはいけない。感電するリスクが高くなる。
MNAC,2024/11/30,850-6,成形機,準備モードでノズルが前進しない(後退はする),"操作盤のノズル前進SWの配線が断線していた
",配線復旧,1.0h,桐澤,操作盤内部の配線を確認→ノズル前進SWの配線が断線していた。,復旧時に配線がほかの充電部に接触して短絡しないよう制御電源を遮断して復旧作業すること
防府,2024/12/7,850-4,成形機,余熱ホットランナーが設定温度まで上昇しない,ホットランナーのコネクタが破損しており、接続したときに接触不良を起こしていた。,コネクタ交換,3.0h,桐澤,コネクタの導通チェック(問題なし)→他の金型で確認(設定温度まであがらない)→コネクタの破損確認(1部破損しており、接触不良により焦げている箇所があった)→コネクタ交換,電源を遮断してすること
防府,2025/1/8,350-6,成形機,ノズルヒータの温度が設定より高く昇温する,ノズルヒータの配線がNH1とNH2が振り替わっていた,配線復旧,1.0h,國弘,ノズルヒータボックス(端子箱)でコネクタの差し間違えがないか確認(差し間違えていた)→コネクタ復旧,コネクタ交換時はヒータをOFFにして交換すること
防府,2025/3/13,850-6,成形機,ノズル温度が表示されない(***と表示されていた),温度センサーの破損,センサー交換,1.5h,松村,ヒータボックス(端子箱)で表示されていない箇所の温度センサーの配線を短絡し、大気温度が表示されるか確認(表示された)→センサー本体を調査すると破損していたのでセンサーを交換した。,間違えてセンサーではなく、ヒータ線を短絡しないこと。センサーの型式を確認して同じ型式のものを取り付けること。
防府,2025/3/18,850-2,成形機,コンバータ異常発生(異常コード702),コンバータ1次電圧の過上昇?,電源リセットで異常解除され、その後再発無,0.5h,桐澤,成形機の取説で異常コードを確認→取説の手順に従って電源リセット(成型機のメインブレーカ)をリセット→異常復旧その後再発無,サーボ系のアラームは取説で異常コードを確認して対処すること
防府,2025/3/19,550-9,温調器,ポンプからの異音,ベアリングの劣化,ポンプモータ交換,4.0h,桐澤,異音確認→予備の温調器と交換→温調器のポンプモータを交換→マシンに復旧,
防府,2025/3/25,550-9,成形機,"樹脂漏れ
ノズルの付け間違え",R15のノズルを付けなければならないが、R10のノズルが付いていた,ヒータ、センサー、ノズル交換,4.0h,松村,バーナーで樹脂を熱し樹脂を外す→ヒータと温度センサーを交換,ヒータとセンサーの型式を確認して取付のこと
防府,2025/4/15,,その他,2ライン小型用チラーの高圧圧力が高い(2.6Mpa),冷却水入のストレーナの詰まり,ストレーナ清掃,3.0h,國弘,取説で処置内容確認→ストレーナ取り外し→ストレーナ清掃→ストレーナ取付→確認運転(問題なし),ストレーナを取り外す際は大量の水が出てくるのでバケツ等で受けて作業する事
防府,2025/5/18,850-1,温調器,温調器の温度が設定温度まで上昇しない,基盤の劣化,基盤交換,4.0h,松村,バルブを閉めて温度が上昇するか？(上昇した)→電磁弁の出力確認(常時200V出力していいた)→基盤の劣化と考えられる,温調器の交換をする場合は、同じ容量の温調器に交換する事。交換時は1次側のブレーカを遮断すること
防府,2025/4/19,550-7,オートローダー,材料が供給されない,モータの回転方向が逆,配線復旧,1.0h,桐澤,"モータの回転方向を確認(銘板確認)→反対に回転していた→配線修正(R,S,Tを正相に接続)",コンセントを抜いて作業すること
防府,予測されるトラブル,1300－3,成形機,型締め昇圧時、トグルから異音がする,トグルへの潤滑不足,トグル潤滑塗布,2.0h,-,トグルの潤滑ホースを外し、潤滑ポンプを作動させグリスが出てくるか確認(出てこなかった)→ホースの破損の確認(破損箇所有)→ホース修正→潤滑ポンプを再度運転させ、グリスが出てくることを確認(出てきた)→トグルピンやトグルピンのキーに破損がある可能性があるのでメーカに相談してみる,機内作業時はSKYカードの表示をする→機内は油で滑るので注意
防府,予測されるトラブル,1300－4,成形機,ノズルが前後進しない,電磁弁のスティック,電磁弁の解放点検,2.0h,-,電磁弁のスプールを六角レンチなどで突き、スプールが動くか確認(動かない)→電磁弁を解放点検しスプールに傷がないか、内部にゴミなどが付着してないか、内部をパーツクリーナーで洗浄しエアブローし復旧する→再度六角レンチでスプールを突き動くか確認→実際に動作確認,バルブを外す際、油が噴き出る可能性があるので慎重に作業する。解放点検時、組み込み時にOリングが全てついているか確認
防府,2019/9/3,850-4,成形機,ノズル温度低下以上にて停止,ヒータ断線,ヒータ交換,1.0h,國弘,ノズルヒータボックス(端子箱)でヒータの導通チェック(H2導通なし)→ヒータ交換,導通チェック時はヒータOFFにすること
防府,2020/10/7,850-4,成形機,油面低下異常発生,ー,作動油補給,0.5h,國弘,液面計で油面確認(lowより下)→作動油補給,
防府,2025/3/5,850-6,成形機,ノズルNH1が設定温度まで上昇しない,電磁接触器の接点の劣化,電磁接触器交換,1.0h,桐澤,ノズルヒータを昇温させた状態でノズルヒータボックス(端子箱)の電磁接触器2次側で電圧確認→R-S相の電圧が100Vしかない→MC交換,MC交換時は分電盤内のブレーカを遮断して作業すること。交換する電磁接触器の1次側を検電器かテスタで電気の有無を確認する。
防府,2025/6/10,1300-1,成形機,自動運転中、押出前進しなくなった,押出ブレーキ解除用リレーの劣化。,リレー交換,0.5h,桐澤,押出前進時にリレーが作動するか確認→リレーの接点部の状態確認→リレーの接点部の劣化,同じ型式のリレーに交換すること
防府,2025/6/10,1300-2,成形機,ノズル前進後退動作しない,作動油不足,作動油補給,1.0h,松村,作動油の油面レベルを確認,作動油をタンクぎりぎりまで補充しないこと
防府,2025/6/10,550-7,成形機,樹脂漏れによるNHヒータ、センサー断線,ー,ヒータ、センサー交換,1,松村,"-
","ヒータ、センサー交換時は同じ型式のものに交換すること
ヒータを昇温させた状態で交換しないこと"
防府,2025/6/10,550-7,成形機,"自動成型中""射出保全停止""異常にて停止",圧力センサーの不良,圧力センサー交換時,1.5h,國弘,ー,圧力センサー交換時、油圧ポンプを停止させてから交換すること
防府,2025/6/10,550-7,成形機,型替え途中成型機の元電源のブレーカがトリップ,ノズルヒータ(H4)の絶縁不良,ノズルヒータ交換,1,松村,ヒータの絶縁測定→H4絶縁不良,"絶縁測定時はヒータ昇温切の状態で測定すること。
ヒータ交換時も昇温切で作業すること。"
防府,2025/6/10,550-7,成形機,CPUバッテリー低下異常が発生,ー,CPUバッテリー交換,1,國弘,ー,電源を切ってから交換すること
防府,2025/6/10,550-7,温調器,可動側の温調器が設定25℃に対し、30℃以下にならない,電磁弁の動作不良により、シリンダーのロッド側の抜けが悪く下降しないと考えられる,冷却水入の電磁弁交換,0.5,國弘,電磁弁に200V印加されているか確認(印加されている)→制御的に問題ないため電磁弁交換,電源を遮断して電磁弁を交換すること
防府,2025/6/10,550-7,その他,除湿乾燥機　乾燥ブロワーサーマルトリップする。,"ブロワーのU,V,WのW相が欠相。",ブロワー交換,12,國弘,ブロワーの各相間の抵抗測定→U-V相は導通があったが、その他の相は導通なし,"抵抗を測定する時は、電源を切って測定すること
"
防府,2025/6/10,550-5,成形機,手動、準備モードで型締めしない,型開閉用のセレクトスイッチ断線,配線復旧,1.5,國弘,"操作盤モニタのIOチェックの画面でセレクトスイッチを型締めにし信号が入力しているか確認(入力してない)→制御盤内のセレクトスイッチの配線を確認(断線していた)
",型締め、型開きを逆に結線しないよう注意。誤動作による災害の危険あり
防府,2025/6/10,550-5,成形機,"""EJMDL異常""発生",ブレーキ解除用リレーの不良,リレー交換,0.5,國弘,押出操作をしブレーキ解除用リレーが作動するか確認(作動)→リレーの接点部確認,同じ型式のリレーに交換すること
防府,2025/6/11,550-5,オートローダ,オートローダーのモータが回転しない,基盤の不良,基盤交換,0.5,國弘,オートローダーもモータ用の電磁開閉器が作動しているか(作動していない)→基盤からの出力がないため基盤の不良だと考えられる,"交換時は必ず電源を切って作業すること
基盤の型式を間違えないこと"
防府,2025/6/13,450-3,リークテスト機,"リーク異常が発生し生産できない
品番:BDGF6696X",製品押さえ付け部の横側からのリーク,押さえ付け面のゲル交換,3,岩永,OKマスタで確認(NG)→ゲル交換(効果なし)→製品押さえ付け面のゲル交換(OK),設備が絶対に動作しない状態にして調査すること
防府,2025/6/16,850-4,成形機,850t-4ノズル温度上昇せず。,ヒーター破損の為。,ヒータ交換,1,今澄,ヒーターの絶縁測定→ヒーター導通チェック→ヒーター破損確認。,ヒーター電源OFF。火傷注意
美土里,2025/6/23,-,ASSY機,K20V50M50M60_シボガーニッシュで製品をセットしていないのに在籍センサーがONになる動作不具合,"在籍センサー(静電容量センサー)の検知による調整不足
在籍センサー再調整",在籍センサー再調整,0.5,有田,在籍センサーの状態確認→調整位置が悪い→調整位置修正,センサーが作動して設備が急に動き出す可能性があるので、設備が動かない状態にして作業する
美土里,2023/11/23,-,ASSY機,J30S_KMV850M30M40_シボガーニッシュでプライマー塗布エラー解除後に違う品番に切り替わる動作不良が発生,PLC回路が間違えていた,回路修正,2,有田,回路修正,"PLC書き込み後急に設備が動き出す可能性があるので注意すること。
PLC修正前に必ずバックアップをとって変更すること"
防府,2023/9/21,850-2,溶着機,PX1N13200で製品セットしても吸着開始しない,スライドのオートスイッチの固定側が緩んでおり、ONしていない,オートスイッチ再固定,0.5,井上,オートスイッチの動作確認(ONしない)→オートスイッチ確認(ゆるみ)→オートスイッチ固定,オートスイッチが作動したとき、設備が急に動く可能性があるので注意する
美土里,2023/9/16,ー,成形機,"PXFV13172で日常点検モードでOK,NG点検確認ができない",IVカメラ取付部緩み(ぶつけて動いていた),取付部増し締め,1.5,末河,PLCで日常点検の条件確認→IVカメラの条件が成立していない→IVカメラ確認,設備が絶対に動かない状態にして復旧させること
防府,2023/9/14,1300－3,その他,KR9S564G1Aの検査機でウレタン検出用のLR-Wの検出が製品セットの状態のバラつきで不安定,ー,センサー検出位置修正,0.5,井上,センサーの検出位置修正,センサーの取付ボルトを適正なトルクで締め付けること
美土里,2023/6/6,ー,ASSY機,KMV650M30M40_ASSY設備カメラ検査にてOK品がNG品としてカメラ検査過検出が発生。ウレタン(小)のカメラ検出にて発生していた。,ー,OK品の画像と追加学習させてカメラ検出動作を確認。またOK/NGマスターのカメラ検出動作確認し、明るさ調整とウレタン(小)検出範囲を見直しした。,1.5,有田,ー,ー
防府,2023/6/6,ー,ASSY機,DFR5561Yでクリップを組み付けてもOKランプがつかない,先日保全にて近接センサー交換後、閾値チェックができていなかった可能性有,感度調整、近接センサー取付位置調整,0.5,武田,PLC確認→閾値確認,ー
美土里,2023/6/2,ー,ASSY機,KMV650M40で日常点検モードでOKマスター品がNG判定多発,OKマスター品の両面テープ長さが短いためカメラ検査がNG発生していた。,マスタサンプルの制作およびマスタ画像の調整,1,有田,OKマスタ品の状態確認,ー
防府,2023/5/10,850-6,溶着機,PXPN13320 or H32713320でグリップ固定用のボルトが緩んで、グリップが取れた,ボルトのゆるみ,ボルト増し締め,0.5,武田,ー,ー
防府,2023/5/10,850-2,溶着機,"HF0713200で自動中、溶融完了後下治具が戻りきっていないのに、熱板が後退し治具に干渉。治具破壊
",WS0F.2がONしたら熱板後退するようになっており、WS0F.2は下ロボシリンダーが少しでも止まったらONになる仕様で、下治具が熱板に取られて微停止した瞬間に熱板後退がはいる。,下治具後退完了位置の接点を追加。,1,小砂、井上,ー,ー
防府,2023/4/20,550-7,溶着機,"熱板溶着機で熱板ユニットが下ベースに乗った状態で0位置まで下降しており、熱板用ロボシリンダーに熱板ユニットの配線用ボックスを固定するプレートが干渉して下ロボシリンダーも上昇しない。
",熱板ユニットを載せた状態で、上治具原点、熱板用ロボシリンダー原点で下治具下降を押してしまって、原点にいこうとして途中で干渉して停止。下ロボシリンダーが動かないのは、熱板ユニットが斜めになっており重心ズレによりロボシリンダーの負荷が限界だったぽい。,"保全の枕木を使用して、斜めになっている治具を枕木に乗せて、下ロボシリンダーが上昇する様にして、
何とかなった。",1,中原、小砂,ー,ー
防府,2023/4/14,ー,溶着機,"通期膜溶着機　発振はするが時間制御デモ指定時間で溶着完了しない。
スタート→溶着→ホールドと普通ならなるが、ならない。
下死点も信号入らない","systemパラメータの文字化け
systemパラメータで文字化けしている部分修正",systemパラメータで文字化けしている部分修正,72,小砂、中原、岡村,ー,ー
防府,2023/4/18,ー,リークテスト機,T30713232リークテスト機でリークNGが多発,"1工程目の本体溶着に漏れが発生
水没試験で漏れを確認。変化点として扇風機を回しており、扇風機を止めてトライリークNGなし。",本体溶着に当たらないよう扇風機を回している。,2,岡村、能見,ー,ー
美土里,2023/4/14,ー,ASSY機,KAAA6915Y/16Yで青クリップを誤ってASSYした場合にカメラ検査でOKと誤検出する,"青クリップでASSYした場合のNG画像の登録ができていない
",青クリップでASSYしたカメラ検査画像を登録し、NG判定するようカメラを調整する,1,有田,ー,ー
美土里,2023/4/10,450-1,リークテスト機,東北P SP-BOX1380でECアラーム、電源電圧異常が発生。,電源ケーブルの接触不良。,エレシリンダー側の根元をコネコネして暫定的に異常が発生しなくなった。,0.5,守山、小砂、中原,ー,ー
防府,2023/4/6,350,溶着機,P5E3-13195の熱板溶着機で下治具ロボシリンダ異常発生,"ロボシリンダー摺動が悪くなり、負荷がかかっている。
溶融押し付値に達しなくなり異常発生","溶融押し付け値を50%→55%に変更
溶融位置を120→118に条件変更",0.5,岡村,ー,ー
防府,2023/3/7,550-7,リークテスト機,S80115730でカラー圧入時白化発生,カラー受けピンと溶着フランジの干渉により、座り位置が悪くなっていた,干渉部を削った,0.5,小砂,ー,ー
防府,2023/3/7,450-1,リークテスト機,TXL1380でリークテストNG頻発,"
ゲルの交換",ゲル交換,1,小砂,ー,ー
防府,2023/2/22,450-1,溶着機,HF0713200で下治具ロボシリンダ異常発生,"ロボシリンダーの摺動が悪くなり負荷がかかっている。
溶融押しつけ値に達しなくなり異常発生",溶融押し付け値を20%→25%に条件変更,0.5,岡村,ー,ー
防府,2023/2/14,450-3,溶着機,品番T307132C7の振動溶着機で溶着不良発生。スキやバリなど,"下治具奥側右のシリンダブロックが徐々に右手側にズレていき、製品のY方向の固定があまくなり、振動が逃げていた。
",シリンダブロックの調整,1,小砂,ー,ー
防府,2023/2/6,ー,ASSY機,PXFV1324Yでカラー検出しない,"近接SWの位置が製品から離れすぎていた。
",近接SWの位置を調整,0.1,小砂,ー,ー
防府,2023/2/6,850-3,ASSY機,"KBB3 50 7M0のファンネルASSY治具でタッチスイッチ故障
リベットASSY用のハンドクランプのストッパが摩耗して、戻しすぎる為後付けでストッパー設置の依頼",ー,"タッチスイッチ変更(メトロール)
ストッパーボルト設置",3,小砂,ー,ー
防府,2023/2/7,850-2,ASSY機,S80513200のカバーASSY機で自動起動がかからない。(原点が入らない),メインシリンダーの上昇限のオートスイッチが入っていなかった。,"オートスイッチの位置調整
合いマーク施工",0.3,武田,ー,ー
防府,2023/1/28,850-3,溶着機,KBB3519B0 KBB3519C0のインパルス溶着機で日常点検のポカヨケチェックが進まない→生産画面に移行できない,"カメラの位置ズレ→カメラ検査による構成品有無検知が誤検知、構成品がない状態なのに有りと判定。
","カメラの位置調整(マスタ登録位置合わせ)
OK/NGに差が少ない箇所については再学習",0.5,中原,ー,ー
美土里,2023/1/20,850-27,溶着機,EAB20143Aで溶着段差が大きい,"不明。変化点無
",溶着ブロックの調整,1,中下,ー,ー
防府,2023/1/20,550－2,その他,KAAA/K31V46110のチェンジレバーブラケットナット圧入機で左側フィーダーに無限にナットが供給される。,"誘導加熱用コイル直下のナット検出センサーの誤検出で、ナットがあるのに無いと認識されて無限に供給していた。検出用センサーの軸ズレ
センサー感度調整","センサーの軸を調整
反射板との距離を縮めた",1,小砂,ー,ー
防府,2023/1/18,ー,リークテスト機,品番選択時に、リークテストの品種とリンクしておらず、リークNGが発生,製造からながらスイッチ動作についての依頼があり、そのプログラム変更時に誤って変更していたか、修正漏れの可能性有,生産品番とリークテストの品種がリンクするようにプログラム変更,1,井上,ー,ー
防府,2023/1/16,850-1,溶着機,T30713232の熱板溶着機で1/16日の生産でカメラNG頻発で生産できなかった。,"850-1側の溶着品の斜め溶着部が溶着があまい。
変化点として1/12に熱板を交換したとの事で、おそらくそれが原因だと思われる。
交換前と交換後の熱板の違いの確認が必要","・上冶具溶融ストッパーに0.3mmシム追加
・下冶具溶融ストッパー10.7→10.8にアップ
・溶融時間上/下=11s/10s→14s/13sに変更
割り確認済み。",2.5,武田、岡村,ー,ー
防府,2023/1/16,550-7,リークテスト機,S80115730のカラー圧入機兼リークテスト機でカラーを圧入した際に、カラー圧入部に白化、ヒビ発生,カラー圧入ヘッドとカラー受け部の芯だしができておらず、圧入の際にカラーが斜めに挿入されていた為,圧入ヘッドに対しカラーが垂直になるように受け部にシムを挟み、角度を調整,2.5,枝松,ー,ー
防府,2023/1/12,550-2,その他,KAAA/K31V46110のチェンジレバーブラケットナット熱圧入機でナットフィーダの先端のせき止めブロックとシリンダーブロックの間にナットが噛みこむ,"①ナットせき止めブロックの位置がフィーダーから遠い為、次のナットまでシリンダーブロックに乗った状態で動かなくなる。
②コイル側ナット検出在籍の反応が鈍く無限にナットを供給しようとするのが原因。","①シリンダーブロックにナットが1個しか乗らない様にせき止めブロックの位置調整、ナット検出用センサーの位置調整し、検出できる様に穴を追加加工。
②コイル側ナット検出用在籍が安定していないため、位置調整済み。",6,小砂、井上,ー,ー
防府,2023/1/12,ー,溶着機,TK4850340/350のシンサレート溶着機で溶着完了してもカウントアップしない,コネクタ断線により在籍信号入ってこず、カウントアップ条件ONせず,"暫定でオスメス端子で直結するようにした。
コネクタ入荷次第交換",1,小砂、井上,ー,ー
アスコ,2023/1/6,ー,溶着機,PXFV13171の熱板溶着機で溶着治具を取り付けたが、在籍センサーに電力が供給されない,上治具のワイヤレス給電の通信異常,ワイヤレス給電を新品に交換,0,小砂、井上,ー,ー
美土里,2023/1/6,450-12,溶着機,"PXFV-13200の熱板溶着機で
・手動では作動するが、自動起動できない
・「エア機器サイクルタイムオーバー」のエラーがでて、運転準備が解除される
・原点復帰ができない
・センサー、オートスイッチが点滅している",上治具のワイヤレス給電の通信異常,ワイヤレス給電を新品に交換,4,中下,ー,ー
防府,2023/1/6,ー,その他,KAAA/K31V46110のナット熱圧入機で左右ロボシリンダー異常で設備停止,3ポイントにナットを搬送する動作で通常は、左⇒右⇒中⇒終了のはずが、左⇒右⇒中⇒左となっており、左のナット受け側のガイドが満タンなのにもっかい供給しようとするため、ナットがガイドと搬送治具の中間に挟まり、動作停止する。,"左の信号＝位置条件が一瞬ON
一瞬ONなるかもしれないので0.3s以上位置条件がONにならないと起動しない様に回路変更",1,小砂,ー,ー
防府,2022/12/27,ー,溶着機,PAH913200で溶着リブ溶けていない,不明,シムとネルにて調整,1.5,小砂,ー,ー
防府,2022/12/09,ー,ASSY機,PXFV/T3111324Yで設備が動作しない,スペーサがガイドレールの間に挟まっていた。,スペーサ取り外し,0.1,小砂、岡村,ー,ー
防府,2022/12/08,ー,溶着機,PX6115350でベースと治具の間のエアマニホールドからエア漏れ,治具側のマニホールドと本体側のマニホールドが水平でない&着座不足,水平&着座する位置にして固定,2.0,小砂,ー,ー
防府,2022/12/08,ー,その他,KAAA/K31V46110でナット圧入機が動作しない,ナットせき止めブラケットのゆるみにより、ナットがナット供給用シリンダーとフィーダの中間に噛みこんでいた。せき止めブラケットの固定用ボルト1個とった。,ボルト2個にて固定,0.5,小砂,ー,ー
防府,2022/12/08,ー,溶着機,T307132232の連結溶着機(横型)にて溶着動作時にエラー表示にて停止,溶着監視時間が短すぎてエラー表示(正常動作),溶着監視時間を2.8s→3.3sへ延長,2.0,小砂、須賀,ー,ー
防府,2022/12/08,ー,ASSY機,PXFV/T3111324Yでクランプが真ん中でない,クランプセット治具の微妙な位置ズレ。セット方法不遵守,本体受け具の位置調整。セット方法を再度教授,3.0,小砂,ー,ー
防府,2022/12/08,ー,ASSY機,BDGF6915Y/16Yで在籍反応しないため、カメラ起動条件ONにならない,コネクタ断線,治具側のコネクタ交換,1.0,小砂,ー,ー
防府,2022/11/21,550-7,溶着機,PX4J15730で吸着したりしなかったりする,吸着パッド破損(亀裂),吸着パッド交換,0.1,小砂,ー,ー
防府,2022/11/21,ー,溶着機,上治具がベースに取りつかない,下ベースの位置決め用丸ブロックを夜勤で触った,全振動溶着機治具の位置調整再実施,2.0,小砂,ー,ー
防府,2022/11/09,ー,溶着機,PX6115360で下治具の吸着が吸わない,"不明　ゴムパッキン交換してもダメ
J59Cスピーカ治具の場合は問題ないので、真空装置の問題ではなくPX61の治具の問題
継手から漏れている？",原因が不明なため、暫定でエアーホースを直つなぎにした。,1.0,武田,ー,ー
防府,2022/09/29,ー,溶着機,P5E2-13195で上治具スライドが動作しない,パイロット弁の故障,パイロット弁交換,1.0,小砂,ー,ー
防府,2022/09/28,ー,溶着機,振動溶着機(VW機)でリフト上昇/下降時にスライドが動かない,本体側コネクタのP24断線,再配線,1.5,小砂,ー,ー
防府,2022/09/28,850-2,溶着機,PAH9-13200で溶着幅NG,スライドの受けブロックが熱板押しつけで徐々に傾いていた,位置調整,1.5,小砂、中原,ー,ー
防府,2022/09/09,550-7,リークテスト機,J03K/J59C S80115730 HF071573Z HF321319Xにてリークテスト後にリフターが上がらない,"ソレノイドバルブの故障
ソレノイド自体のボタンを押すと作動→コイルの故障",コイル交換,0.5,武田,ー,ー
防府,2025/06/25,ー,その他,PX8F15360のキャップカメラ検査機でOKなのにNG判定となる,"不明
短いホースの検出が0だった。
マスタ画像とLive画像の位置が違ったが、これが原因ではなさそう",ホースの黒色検出から、ホース先端の白色マーキング検出に変更,0.5,武田,ー,ー
防府,2022/07/15,ー,リークテスト機,PX8F15360でNGマスタがOKになる,原因究明は出来なかったが、テスト圧50kpaに対してテスターの圧力表示は46～47kpaと低い,"タッチパネルで圧力を変更出来るが、0.01MPa単位での変更しか出来ない。0.001MPa単位に変更してテスター圧を50kPaとしたい。井上君に伝達済み。
これでもダメなら、閾値58Paを40-45Paに下げても良いかも。",0.5,武田,ー,ー
